outcome,true_label,predicted_label,confidence,paper_id,section_name,section_family,label_source_rule,token_count,text,row_id
correct_high_confidence,macro,macro,0.9999982,1909.03023,Conclusions,conclusion,macro_conclusion,102,"In this work we proposed a new annotation scheme for three theoretically-motivated features of student talk in classroom discussion: argumentation, specificity, and knowledge domain. We demonstrated usage of the scheme by presenting an annotated excerpt of a classroom discussion. We demonstrated that the scheme can be annotated with high reliability and reported on scheme validity. Finally, we discussed some possible applications and challenges posed by the proposed annotation scheme for both the educational and NLP communities. We plan to extend our annotation scheme to label information about collaborative relations between different argument moves, and release a corpus annotated with the extended scheme.",3539
correct_high_confidence,macro,macro,0.99999523,1912.01252,Abstract,abstract,macro_abstract,159,"News website comment sections are spaces where potentially conflicting opinions and beliefs are voiced. Addressing questions of how to study such cultural and societal conflicts through technological means, the present article critically examines possibilities and limitations of machine-guided exploration and potential facilitation of on-line opinion dynamics. These investigations are guided by a discussion of an experimental observatory for mining and analyzing opinions from climate change-related user comments on news articles from the this http URL. This observatory combines causal mapping methods with computational text analysis in order to mine beliefs and visualize opinion landscapes based on expressions of causation. By (1) introducing digital methods and open infrastructures for data exploration and analysis and (2) engaging in debates about the implications of such methods and infrastructures, notably in terms of the leap from opinion observation to debate facilitation, the article aims to make a practical and theoretical contribution to the study of opinion dynamics and conflict in new media environments.",3103
correct_high_confidence,macro,macro,0.9999777,1703.04617,Conclusions,conclusion,macro_conclusion,72,"Closely modelling questions could be of importance for question answering and machine reading. In this paper, we introduce syntactic information to help encode questions in neural networks. We view and model different types of questions and the information shared among them as an adaptation task and proposed adaptation models for them. On the Stanford Question Answering Dataset (SQuAD), we show that these approaches can help attain better results over a competitive baseline.",1670
failed_high_confidence,macro,meso,0.9945826,1910.08772,Conclusions and Future Work,conclusion,macro_conclusion,42,"Second, as mentioned earlier, we are in need of a fully (rather than partially) checked SICK dataset to examine the impact of data quality on the results since the partially checked dataset may be inherently inconsistent between the checked and non-checked parts.",933
failed_high_confidence,macro,meso,0.991879,1909.01958,Summary and Conclusion ::: Acknowledgements,conclusion,macro_conclusion,33,"We gratefully acknowledge the many other contributors to this work, including Niranjan Balasubramanian, Matt Gardner, Peter Jansen, Jayant Krishnamurthy, Souvik Kundu, Todor Mihaylov, Harsh Trivedi, Peter Turney, and the Beaker team at AI2.",2639
failed_high_confidence,macro,micro,0.99073374,1911.07228,Conclusion,conclusion,macro_conclusion,49,"The word at the begin of the sentence is capitalized, so, if the name of person is at this position, model will ignore them (no extraction). To improve this issue, we can use the POS feature together with BIO format (Inside, Outside, Beginning) BIBREF6 at the top layer (CRF).",3680
correct_high_confidence,meso,meso,0.9999993,1910.08987,Data and Preprocessing ::: Pitch extraction and syllable segmentation,other,meso_section_lead,30,"We use Praat's autocorrelation-based pitch estimation algorithm to extract the fundamental frequency (F0) contour for each sample, using a minimum frequency of 75Hz and a maximum frequency of 500Hz BIBREF13.",4031
correct_high_confidence,meso,meso,0.9999988,1709.01256,Data Sets,other,meso_section_lead,30,"In this section, we introduce the two data sets we used for our revision detection experiments: Wikipedia revision dumps and a document revision data set generated by a computer simulation.",3302
correct_high_confidence,meso,meso,0.9999976,1709.02271,Experiments and Results,results,meso_section_lead,30,"We begin by introducing the datasets (Section SECREF15 ), followed by detailing the featurization methods (Section SECREF17 ), the experiments (Section SECREF22 ), and finally reporting results (Section SECREF26 ).",21
failed_high_confidence,meso,micro,0.998251,2003.06279,Supplementary Information ::: Stopwords,other,meso_section_lead,188,"The following words were considered as stopwords in our analysis: all, just, don't, being, over, both, through, yourselves, its, before, o, don, hadn, herself, ll, had, should, to, only, won, under, ours,has, should've, haven't, do, them, his, very, you've, they, not, during, now, him, nor, wasn't, d, did, didn, this, she, each, further, won't, where, mustn't, isn't, few, because, you'd, doing, some, hasn, hasn't, are, our, ourselves, out, what, for, needn't, below, re, does, shouldn't, above, between, mustn, t, be, we, who, mightn't, doesn't, were, here, shouldn, hers, aren't, by, on, about, couldn, of, wouldn't, against, s, isn, or, own, into, yourself, down, hadn't, mightn, couldn't, wasn, your, you're, from, her, their, aren, it's, there, been, whom, too, wouldn, themselves, weren, was, until, more, himself, that, didn't, but, that'll, with, than, those, he, me, myself, ma, weren't, these, up, will, while, ain, can, theirs, my, and, ve, then, is, am, it, doesn, an, as, itself, at, have, in, any, if, again, no, when, same, how, other, which, you, shan't, shan, needn, haven, after, most, such, why, a, off i, m, yours, you'll, so, y, she's, the, having, once.",3338
failed_high_confidence,meso,macro,0.9562551,1903.08237,General Discussion,other,meso_section_lead,35,In this paper we have provided a unified account of referring expression choice that solves a long-recognized puzzle for rational theories of language use: why do speakers' referring expressions often and systematically exhibit seeming overinformativeness?,296
failed_high_confidence,meso,macro,0.9368146,1812.06038,Discussion,other,meso_section_lead,47,"The construction of causal attribution networks generates important knowledge networks that may inform causal inference research and even help future AI systems to perform causal reasoning, but these networks are time-consuming and costly to generate, and to date no efforts have been made to combine different networks.",460
correct_high_confidence,micro,micro,0.9999927,2001.00582,Excitation-based Voice quality analysis ::: Separability between Distributions,results,micro_results_nonlead,66,"where $M$ is the average of the two distributions ($M=0.5*(A+B)$). Table TABREF10 shows the results for the four features we previously presented. Among others it can be noticed that the loud and soft voices are highly separable, while the loud type is closer to the modal voice than the soft one. It is also seen that $F_g$ and $NAQ$ are highly informative for voice quality labeling.",3605
correct_high_confidence,micro,micro,0.99998903,1808.00265,Implementation Details,methods,micro_methods_nonlead,45,"where INLINEFORM0 denotes cross-entropy and INLINEFORM1 denotes KL-divergence. INLINEFORM2 corresponds to the learned parameters. INLINEFORM3 is a scalar that weights the loss terms. This scalar decays as a function of the iteration number INLINEFORM4 . In particular, we choose to use a cosine-decay function: DISPLAYFORM0",1686
correct_high_confidence,micro,micro,0.99998546,1909.04625,Experiment 2: Simple Coordination ::: Number Agreement,results,micro_results_nonlead,105,"Examining the results for English-or, we find that all models demonstrate humanlike expectation in the pl_or_pl and sg_or_pl conditions. The LSTM (1B), LSTM (PTB), and RNNG models show zero or negative singular expectation for the pl_or_sg conditions, as expected. However the LSTM (enWiki) and ActionLSTM models show positive plural expectation in this condition, indicating that they have not learned the humanlike generalizations. All models show significantly negative plural expectation in the sg_or_sg condition, as expected. In the French-or cases, models show almost identical behavior to the and conditions, except the LSTM (frWaC) shows smaller plural expectation when singular nouns are linearly proximal to the verb.",3411
failed_high_confidence,micro,meso,0.9997923,1910.11949,Methodology,methods,micro_methods_nonlead,44,"Elisabot is composed of two models: the model in charge of asking questions about the image which we will refer to it as VQG model, and the Chatbot model which tries to make the dialogue more engaging by giving feedback to the user's answers.",3172
failed_high_confidence,micro,meso,0.99702066,1702.06589,Experiments,results,micro_results_nonlead,37,"There are a few reasons that contributed to the low accuracy obtained on this task by various methods (including ours) compared to other NLP problems: weak supervision, small training size and a high percentage of unanswerable questions.",4475
failed_high_confidence,micro,macro,0.9957417,1910.11493,Results ::: Task 1 Results,results,micro_results_nonlead,66,"The University of Alberta (UAlberta) performed a focused investigation on four language pairs, training cognate-projection systems from external cognate lists. Two methods were considered: one which trained a high-resource neural encoder-decoder, and projected the test data into the HRL, and one that projected the HRL data into the LRL, and trained a combined system. Results demonstrated that certain language pairs may be amenable to such methods.",1460
